stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000001146	9606.ENSP00000456609	CYP26B1	STRA6	9606	0.654	0.0	0.0	0.0	0.045	0.054	0.0	0.647
9606.ENSP00000001146	9606.ENSP00000310721	CYP26B1	CYP7B1	9606	0.66	0.0	0.0	0.457	0.051	0.049	0.0	0.388
9606.ENSP00000001146	9606.ENSP00000337224	CYP26B1	LRAT	9606	0.681	0.0	0.0	0.0	0.086	0.0	0.0	0.665
9606.ENSP00000001146	9606.ENSP00000320401	CYP26B1	UGT2B17	9606	0.687	0.0	0.0	0.0	0.067	0.0	0.67	0.065
9606.ENSP00000001146	9606.ENSP00000251566	CYP26B1	UGT2A3	9606	0.687	0.0	0.0	0.0	0.067	0.0	0.67	0.065
9606.ENSP00000001146	9606.ENSP00000341045	CYP26B1	UGT2B15	9606	0.687	0.0	0.0	0.0	0.067	0.0	0.67	0.065
9606.ENSP00000001146	9606.ENSP00000478561	CYP26B1	CYP1B1	9606	0.688	0.0	0.0	0.459	0.068	0.054	0.098	0.387
9606.ENSP00000001146	9606.ENSP00000304845	CYP26B1	UGT1A1	9606	0.696	0.0	0.0	0.0	0.067	0.0	0.67	0.09
9606.ENSP00000001146	9606.ENSP00000343838	CYP26B1	UGT1A10	9606	0.697	0.0	0.0	0.0	0.067	0.0	0.67	0.095
9606.ENSP00000001146	9606.ENSP00000304811	CYP26B1	UGT2B7	9606	0.714	0.0	0.0	0.0	0.067	0.0	0.67	0.145
9606.ENSP00000001146	9606.ENSP00000363832	CYP26B1	AOX1	9606	0.921	0.0	0.0	0.0	0.08	0.0	0.907	0.154
9606.ENSP00000001146	9606.ENSP00000222982	CYP26B1	CYP3A5	9606	0.935	0.0	0.0	0.223	0.068	0.069	0.906	0.132
9606.ENSP00000001146	9606.ENSP00000324648	CYP26B1	CYP2B6	9606	0.936	0.0	0.0	0.229	0.062	0.054	0.905	0.17
9606.ENSP00000001146	9606.ENSP00000285979	CYP26B1	CYP2C18	9606	0.937	0.0	0.0	0.229	0.062	0.054	0.905	0.174
